item_id,question_concept_cluster,wrong_concept,subject_name,question_text,option_A_text,option_A_rationale,option_A_is_correct,option_B_text,option_B_rationale,option_B_is_correct,option_C_text,option_C_rationale,option_C_is_correct,option_D_text,option_D_rationale,option_D_is_correct,tutor1_policy,tutor1_question_text,tutor1_option_A_text,tutor1_option_A_rationale,tutor1_option_A_is_correct,tutor1_option_B_text,tutor1_option_B_rationale,tutor1_option_B_is_correct,tutor1_option_C_text,tutor1_option_C_rationale,tutor1_option_C_is_correct,tutor1_option_D_text,tutor1_option_D_rationale,tutor1_option_D_is_correct,tutor2_policy,tutor2_question_text,tutor2_option_A_text,tutor2_option_A_rationale,tutor2_option_A_is_correct,tutor2_option_B_text,tutor2_option_B_rationale,tutor2_option_B_is_correct,tutor2_option_C_text,tutor2_option_C_rationale,tutor2_option_C_is_correct,tutor2_option_D_text,tutor2_option_D_rationale,tutor2_option_D_is_correct,tutor3_policy,tutor3_question_text,tutor3_option_A_text,tutor3_option_A_rationale,tutor3_option_A_is_correct,tutor3_option_B_text,tutor3_option_B_rationale,tutor3_option_B_is_correct,tutor3_option_C_text,tutor3_option_C_rationale,tutor3_option_C_is_correct,tutor3_option_D_text,tutor3_option_D_rationale,tutor3_option_D_is_correct
722,operation_order_algebra,geometry_angles_shapes,Linear Equations,"Tom and Katie are discussing how to solve:
\(\frac{5 x}{3}-1=-2\)

Tom says a correct next line of working could be: \( 5 x-3=-6 \)

Katie says a correct next line of working could be: \( \frac{5 x}{3}=-3 \)

Who is correct?",Only Tom,"Tom correctly multiplies both sides by 3, maintaining equality. Katie incorrectly isolates the fraction without multiplying all terms.",True,Only Katie,Katie correctly isolates the fraction by adding 1 to both sides. Tom incorrectly multiplies only the left side by 3.,False,Both Tom and Katie,"When solving an equation, uses the same operation rather than the inverse.",False,Neither is correct,Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount,False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"Tom and Katie are discussing \( \boldsymbol{y}=\mathbf{3}^{\boldsymbol{x}} \)
Tom says there is no value of \( x \) that can make \( y \) negative.
Katie says there is no value of \( x \) that can make \( y \) equal to \( 0 \).
Who is correct?",Only Tom,Believes negative exponents produce negative values for y.,False,Only Katie,Believes a negative power results in a negative answer,False,Both Tom and Katie,Understands 3^x is always positive and never zero.,True,Neither is correct,Thinks negative exponents can make y zero or negative.,False,lemma_similarity,"Tom and Katie are discussing how to order decimals.

Tom says \( 0.60 \) is greater than \( 0.06 \)

Katie says \( 0.5993 \) is greater than \( 0.5399 \)

Who is correct?",Only Tom,Does not know how to compare decimal numbers,False,Only Katie,Does not know how to compare decimal numbers,False,Both Tom and Katie,Correctly identifies both comparisons by comparing digits from left to right.,True,Neither is correct,Does not know how to compare decimal numbers,False
739,operation_order_algebra,geometry_angles_shapes,Writing Expressions,"Which answer shows the following calculation using the correct algebraic convention?
\(
l \times 3 \times l \times l \times g \times g
\)",\(l3llgg\),Does not realize we can simplify a term that involves powers,False,\( l 3 l^{2} g^{2} \),Does not correctly apply the commutative property of multiplication,False,\( 3 g^{2} l^{3} \),Correctly simplifies the expression by combining like terms and using proper exponent notation.,True,\( 3 g g l^{3} \),Does not realize we can simplify a term that involves powers,False,llm_gpt5codex_nogold_nonadaptive,\( 7 \times \frac{1}{4}=7 \div ? \),\( \frac{4}{4} \),Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,\( \frac{1}{4} \),"When dividing an integer by a fraction, thinks they can just multiply instead.",False,\( 4 \),Recognizes multiplying by a unit fraction is equivalent to dividing by its denominator.,True,Not possible,Does not know multiplying by a unit fraction is equivalent to: dividing by its denominator value,False,llm_qwen8b_nogold_nonadaptive,"\(
\frac{7}{10}-\frac{2}{5}=\frac{\bigstar}{10}
\)
What should replace the star?",\( 11 \),Student adds numerators directly without adjusting denominators.,False,\( 5 \),"When subtracting fractions, subtracts the numerators and denominators",False,\( 3 \),Student correctly subtracts numerators after converting to common denominators.,True,\( 9 \),Does not find a common denominator when adding/subtracting fractions,False,lemma_similarity,Which of the following is the correct way to write \( 900 \) using Roman numerals?,\( \mathrm{CM} \),Correctly uses subtractive notation for 900 in Roman numerals.,True,DCCCC,Writes four symbols after rather than one before in Roman numerals,False,IXOO,Thinks that we can use O as zero for place value in Roman numerals,False,ССССССССС,Does not know how to combine different symbols in Roman numerals,False
840,operation_order_algebra,geometry_angles_shapes,Linear Equations,"Tom and Katie are discussing how to solve:
\(
\frac{8 x}{5}=40
\)

Tom says a correct next line of working could be: \( 8 x=8 \)
Katie says a correct next line of working could be: \( \frac{x}{5}=5 \)
Who is correct?","Only
Tom","When solving an equation, uses the same operation rather than the inverse.",False,Only Katie,"Katie correctly isolates x by dividing both sides by 5, while Tom incorrectly divides 40 by 5 instead of multiplying.",True,Both Tom and Katie,"Both incorrectly manipulate the equation, failing to apply inverse operations properly to isolate x.",False,Neither is correct,"When dividing a fraction by an integer, divides both the numerator and denominator by the integer",False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"Tom and Katie are discussing \( \boldsymbol{y}=\mathbf{3}^{\boldsymbol{x}} \)
Tom says there is no value of \( x \) that can make \( y \) negative.
Katie says there is no value of \( x \) that can make \( y \) equal to \( 0 \).
Who is correct?",Only Tom,Believes negative exponents produce negative values for y.,False,Only Katie,Believes a negative power results in a negative answer,False,Both Tom and Katie,Understands 3^x is always positive and never zero.,True,Neither is correct,Thinks negative exponents can make y zero or negative.,False,lemma_similarity,"Tom and Katie are discussing how to order decimals.

Tom says \( 0.60 \) is greater than \( 0.06 \)

Katie says \( 0.5993 \) is greater than \( 0.5399 \)

Who is correct?",Only Tom,Does not know how to compare decimal numbers,False,Only Katie,Does not know how to compare decimal numbers,False,Both Tom and Katie,Correctly identifies both comparisons by comparing digits from left to right.,True,Neither is correct,Does not know how to compare decimal numbers,False
911,operation_order_algebra,geometry_angles_shapes,Function Machines,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""3m + 1"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?",\( 6 m+2 \),Applies the correct sequence of operations to the input expression.,True,\( 3 m+2 \),Only multiplies second term in the expansion of a bracket,False,\( 6 m+1 \),Only multiplies the first term in the expansion of a bracket,False,\( 6 m+3 \),Adds instead of multiplies,False,llm_gpt5codex_nogold_nonadaptive,"One of these quadratic equations will give no real solutions.
Which one?",\( \frac{-6 \pm \sqrt{-12}}{3} \),"The equation correctly shows a negative discriminant, indicating no real solutions.",True,\( \frac{-6 \pm \sqrt{12}}{-3} \),Believes the discriminant must be a perfect square for an equation to have real solutions,False,\( \frac{-6 \pm \sqrt{1200}}{3} \),Believes the discriminant must be a perfect square for an equation to have real solutions,False,\( \frac{-6 \pm \sqrt{0}}{3} \),Believes that a discriminant of 0 means there are no real solutions,False,llm_qwen8b_nogold_nonadaptive,"John rotates rectangle \( A B C D 90^{\circ} \) clockwise from the centre \( (3,2) \). What error has he made? ![A positive, coordinate grid with two rectangles drawn on it. The rectangle labelled ABCD has the coordinates: A(1,3) B(1,5) C(2,5) and D(2,3). The other rectangle has the coordinates: (4,3) (6,3) (6,2) and (4,2).]()","He hasn't, this is correct","Believes the rotation is correct, not recognising the error in the position of the rotated rectangle",False,He has translated by the vector \( \left(\begin{array}{l}3 \\ 2\end{array}\right) \),Does not recognise that a shape translated would not change orientation,False,He has rotated \( 90^{\circ} \) anticlockwise,Mixes up clockwise and anticlockwise,False,He has used the wrong centre,"Incorrectly identifies the centre of rotation as the issue, not the direction or position of the rectangle",True,lemma_similarity,"What is the equation of this line? ![A set of axes with a line drawn on. The lines passes through the points: (0,2) (1,2) (2,2) (3,2) and (4,2)]()",\( x=2 \),Thinks x = ? is a horizontal line through ?,False,\( x=2 y \),"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",False,\( y=2 x \),Includes the x variable when giving the equation of a horizontal line,False,\( y=2 \),"Recognizes that a horizontal line has a constant y-value, so y equals the y-coordinate of the points.",True
1165,operation_order_algebra,geometry_angles_shapes,Expanding Double Brackets,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the -8 in the first bracket and the -2 in the second bracket.]()",\( -10 \),Adds instead of multiplying when expanding bracket,False,\( +16 \),"Correctly multiplies -8 and -2, recognizing two negatives make a positive.",True,\( -6 \),Multiplies absolute values but incorrectly keeps the negative sign.,False,\( -16 \),Believes multiplying two negatives gives a negative answer,False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"Jacob makes a conjecture: If you have two different numbers, \( P \) and \( Q \), the order you divide does not matter. \( P \div Q=Q \div P \) Is Jacob's conjecture...",Always true,Believes division is commutative,False,Sometimes true,Believes division is sometimes commutative,False,Never true,Recognizes division is not commutative and provides correct conclusion.,True,"I don't
know",Expresses uncertainty without providing reasoning or evidence.,False,lemma_similarity,"What is the value of \( x \) when \( y=1 \) ?

Give your answer(s) to \( 1 \) decimal place ![A curved U shaped graph. There are 5 boxes between 0 and 1 on both axes. The graph goes through (-2, 1), (0,0), (2,1) and (4,4).]()",\( x=1.3 \),Student assumes a linear relationship and calculates a single x-value for y=1.,False,\( x=2 \),"Only gives 1 value of x for a given value of y, when reading from a parabolic graph",False,\( \begin{array}{c}x=-1.3 \\ \text { and } x=1.3\end{array} \),Student incorrectly assumes symmetry around y-axis and provides x-values based on a linear graph.,False,\( \begin{array}{c}x=-2 \\ \text { and } x=2\end{array} \),Student correctly identifies the x-values corresponding to y=1 from the graph's symmetry.,True
1327,operation_order_algebra,geometry_angles_shapes,Expanding Triple Brackets and more,"When Nadia expands these brackets, how many terms should she get after she simplifies?
\(
(p+8)(p+2)(p+1)
\)",\( 5 \),Believes expansion of three brackets results in five terms.,False,\( 8 \),Thinks each bracket contributes eight terms during expansion.,False,\( 3 \),Believes a cubic expression should have three terms,False,\( 4 \),Correctly identifies that simplification reduces terms to four.,True,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,\( \left(\begin{array}{l}2 \\ 3\end{array}\right)+\left(\begin{array}{c}-1 \\ 0\end{array}\right)= \),\( \left(\begin{array}{l}1 \\ 3\end{array}\right) \),Correctly adds corresponding components of the vectors.,True,\( \left(\begin{array}{c}-2 \\ 3\end{array}\right) \),Subtracts the second vector from the first instead of adding.,False,\( \left(\begin{array}{c}-2 \\ 0\end{array}\right) \),"When adding column vectors, multiplies rather than adds",False,\( \left(\begin{array}{l}3 \\ 3\end{array}\right) \),"Adds the vectors as if they were scalars, ignoring vector structure.",False,lemma_similarity,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 6.55 \),Does not know how to calculate with exchange rates,False,\( 4.27 \),Student may have inverted the exchange rate and divided instead of multiplying.,False,\( 5 \),Does not know how to calculate with exchange rates,False,\( 3.82 \),Correctly uses the exchange rate to convert dollars to pounds.,True
1639,operation_order_algebra,geometry_angles_shapes,Written Subtraction,"Colm wins \( £ 55750 \) on the lottery and gives \( £ 25250 \) to charity.
How much money does Colm keep?",\( £ 81000 \),Subtracts instead of adds when answering worded problems,False,\( £ 30500 \),Correctly subtracts the amounts to find the remaining money Colm keeps.,True,\( £ 35500 \),"Incorrectly adds the amounts instead of subtracting, leading to an overestimated result.",False,\( £ 80000 \),Adds rather than subtracts when answering worded problems,False,llm_gpt5codex_nogold_nonadaptive,"Paige, Kaci and David want to find the area of the school playground. They each do it a different way. Who is correct? ![A compound shape making an L shape. The full width across the bottom is 9m, the partial width on the top is 5m. The full height on the left is 10m, the partial height on the right is 6m.]()",Paige: \( 10 \times 6+5 \times 4 \),Cannot identify the correct side lengths to use when asked to find the area of a face,False,Kaci: \( 10 \times 5+9 \times 6 \),Does not know how to find missing lengths in a composite shape,False,David: \( 9 \times 10-6 \times 4 \),David correctly subtracts the smaller rectangle from the larger to find the total area.,True,They are all correct,Believes all methods are valid without checking for correct calculations.,False,llm_qwen8b_nogold_nonadaptive,"James and Cameron are watching a film. They pause it with one sixth left to watch.

What is the ratio for how much they have watched to how much they have yet to see? ![An image of a television]()",5:1,"Recognizes that 5/6 has been watched, so ratio is 5:1.",True,1:5,Gets order of ratio wrong,False,\( 6: 1 \),"Uses the denominator when converting from fractions to ratio, rather than numerator.",False,1:6,"Confuses the remaining fraction with the watched portion, using 1:6.",False,lemma_similarity,"Sunita wants to buy a sandwich and a tea.

How much money will she need? Joe's Café
Sandwich \( £3.25 \)
Pasty \( £ 2.99 \)
Cake \( £ 2.25 \)
Soup \( £ 3.19 \)
Tea \( £ 1.55 \)
Coffee \( £ 1.95 \)
Orange \( 89\)p",£5.70,When adding powers of 10 adds onto the wrong column,False,£4.80,Correctly adds £3.25 and £1.55 by aligning decimal points and summing each column.,True,£5.80,"Adds £3.25 and £2.55, possibly misreading the tea price as £2.55 instead of £1.55.",False,£4.70,"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",False
1721,operation_order_algebra,geometry_angles_shapes,Range and Interquartile Range from a List of Data,"What is the range of the following numbers?
\[
2,2,4,17,-10
\]",\( 15 \),Ignores the negative sign,False,\( 12 \),When calculating the range does not reorder the data to find the largest number minus the smallest number,False,\( 7 \),To find the range adds the biggest and smallest number rather than subtract,False,\( 27 \),Correctly subtracts the smallest number from the largest number in the list.,True,llm_gpt5codex_nogold_nonadaptive,"Here are the depths below sea level of \( 3 \) creatures:
Starfish: \( -7 m \)
Shark: \( -9 m \)
Dolphin: \( -8.3 \mathrm{~m} \)
Arrange their depths in ascending order, starting with the deepest","\( 1^{\text {st }} \) Dolphin
\( 2^{\text {nd }} \) Shark
\( 3^{\text {rd }} \) Starfish","Thinks the more digits a number has the greater it is, regardless of place value",False,\( 1^{\text {st }} \) Starfish \( 2^{\text {nd }} \) Dolphin \( 3^{\text {rd }} \) Shark,Believes negative numbers with a larger absolute value are greater,False,"\( 1^{\text {st }} \) Shark
\( 2^{\text {nd }} \) Dolphin
\( 3^{\text {rd }} \) Starfish",Correctly orders negative numbers by comparing their values from least to greatest.,True,"\( 1^{\text {st }} \) Starfish
\( 2^{\text {nd }} \) Shark
\( 3^{\text {rd }} \) Dolphin","Confuses the order of negative numbers, placing Shark before Dolphin incorrectly.",False,llm_qwen8b_nogold_nonadaptive,"This pictogram shows the different types of music Bob has in his music collection.
Bob has \( 2 \) rave CDs.

How would he display this on the pictogram? ![A pictogram showing the number of CDs Bob has in his musical collection. Pop has 3 and a half symbols, rock has 2 symbols, blues has 2 and a quarter symbols, jazz has 3 and a quarter symbols and classical has 1 and three-quarter symbols. Each symbol represents 4 CDs.]()",![(1)](),"Thinks each symbol represents 1 CD instead of 4, so 2 CDs would be shown as 2 symbols.",False,![\( 00 \)](),"When interpreting a pictogram, thinks each symbol stands for 1",False,![\( 0 \)](),"Correctly calculates 2 CDs divided by 4 CDs per symbol, resulting in 0.5 symbols, which is displayed as 0.",True,![\( \Delta \)](),"Confuses the pictogram symbol with a mathematical symbol, interpreting it as a variable or operator.",False,lemma_similarity,What is the smallest odd cube number?,\( 1 \),"The smallest cube is 1, as 1 cubed equals 1, which is odd.",True,\( 3 \),Thinks numbers are a multiple of their index,False,\( 8 \),Mixes up odd and even numbers,False,\( 27 \),"Confuses cube numbers with odd numbers, assuming the third odd number is 27.",False
1804,operation_order_algebra,geometry_angles_shapes,Plotting Quadratics from Tables of Values,"This is a part of the table of values for the equation
\(y=\frac{1}{2} x^{2}\) \begin{tabular}{|c|c|}
\hline\( x \) & \( \frac{2}{3} \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",\( \frac{1}{9} \),"When substituting a value into a non-linear term with a coefficient, multiplies by the coefficient then calculates the power.",False,\( \frac{2}{9} \),Correctly substitutes $\frac{2}{3}$ into $\frac{1}{2}x^2$ and calculates $\frac{2}{9}$,True,\( \frac{2}{3} \),Mixes up squaring and multiplying by 2 or doubling,False,\( \frac{1}{6} \),Divides the coefficient by the x-value instead of multiplying the square by the coefficient,False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,"What transformation maps the graph of
\(y=3 x-7\)
to the graph of
\(y=7-3 x\)","Reflection in the line
\[
y=x
\]",Believes y=-f(x) is a reflection in y=x,False,"Reflection in the line
\[
y=-x
\]",Believes y=-f(x) is a reflection in y=-x,False,"Reflection in the
\[
x \text {-axis }
\]",Recognizes that multiplying by -1 reflects the graph over the x-axis.,True,"Reflection in the
\[
y \text {-axis }
\]",Believes y=-f(x) is a reflection in the y-axis,False,lemma_similarity,"\(
\frac{7}{10}-\frac{2}{5}=\frac{\bigstar}{10}
\)
What should replace the star?",\( 11 \),Student adds numerators directly without adjusting denominators.,False,\( 5 \),"When subtracting fractions, subtracts the numerators and denominators",False,\( 3 \),Student correctly subtracts numerators after converting to common denominators.,True,\( 9 \),Does not find a common denominator when adding/subtracting fractions,False
1845,operation_order_algebra,geometry_angles_shapes,BIDMAS,"Tom and Katie are discussing calculations involving square roots.

Tom says \( \sqrt{16}+\sqrt{9}=5 \)

Katie says \( \sqrt{16+9}=5 \)

Who is correct?",Only Tom,"Believes addition occurs before taking square roots, leading to incorrect result.",False,Only Katie,Correctly applies order of operations by adding under the root first.,True,Both Tom and Katie,"When adding roots, adds the numbers under the roots",False,Neither is correct,Does not understand square root,False,llm_gpt5codex_nogold_nonadaptive,Which function machine will solve the equation \( x^{2}+5=14 ? \),![A function machine showing x as the input then +5 then squaring to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input square root and then -5](),"Does not follow the arrows through a function machine, changes the order of the operations asked.",False,![A function machine showing 14 as the input then squaring and +5 to give the output](),"When solving an equation, uses the same operation rather than the inverse.",False,![A function machine showing x as the input then squaring then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input -5 and then square root](),Applies inverse operations in the correct order to reverse the function machine steps.,True,![A function machine showing x as the input then x2 then +5 to give 14 as the output. Then a reverse function machine underneath showing 14 (the output) now as the input  -5 and then divide by 2](),Mixes up squaring and multiplying by 2 or doubling,False,llm_qwen8b_nogold_nonadaptive,![Squared paper with a horizontal line of reflection and a triangle. The horizontal base of the triangle is two squares above the line of reflection.]() Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? ![Tom does this: his reflected triangle is sitting upright the same as the original object. The base is 3 squares below the line of reflection.]() ![Katie does this: her reflected triangle is upside down compared to the original object. The base of the reflected triangle is on the line of reflection.](),Only Tom,Translates rather than reflects across a line of symmetry,False,Only Katie,Fails to reflect across mirror line,False,Both Tom and Katie,Thinks reflection preserves orientation and position relative to the line.,False,Neither is correct,Believes neither reflection correctly mirrors the object across the line.,True,lemma_similarity,"Tom and Katie are discussing how to order decimals.

Tom says \( 0.60 \) is greater than \( 0.06 \)

Katie says \( 0.5993 \) is greater than \( 0.5399 \)

Who is correct?",Only Tom,Does not know how to compare decimal numbers,False,Only Katie,Does not know how to compare decimal numbers,False,Both Tom and Katie,Correctly identifies both comparisons by comparing digits from left to right.,True,Neither is correct,Does not know how to compare decimal numbers,False
95,operation_order_algebra,geometry_angles_shapes,Sharing in a Ratio,"Percy, Quentin and Robbie share gold coins in the ratio of
\[
3: 7: 8
\]
Percy gets \( 36 \) fewer coins than Quentin.
How many gold coins did Robbie get?",\( 96 \),"In ratio question where the difference between the sides is given, uses that as the total for one side instead",False,\( 72 \),Correctly identifies the difference in ratio parts and scales up to find Robbie's share.,True,\( 12 \),"In ratio question where the difference between the sides is given, uses that as the total",False,\( 63 \),Mixes up sides of a ratio,False,llm_gpt5codex_nogold_nonadaptive,"James and Cameron are watching a film. They pause it with one sixth left to watch.

What is the ratio for how much they have watched to how much they have yet to see? ![An image of a television]()",5:1,"Recognizes that 5/6 has been watched, so ratio is 5:1.",True,1:5,Gets order of ratio wrong,False,\( 6: 1 \),"Uses the denominator when converting from fractions to ratio, rather than numerator.",False,1:6,"Confuses the remaining fraction with the watched portion, using 1:6.",False,llm_qwen8b_nogold_nonadaptive,"This graph shows the amount of potatoes consumed by a restaurant in a week.

How many more potatoes were consumed on Sunday compared to Saturday? ![Chart of potatoes consumed with kilos against day of week]()",\( 35 \mathrm{~kg} \),Reads one point on a time series graph instead of all the values from a given time period,False,\( 25 \mathrm{~kg} \),Reads one point on a time series graph instead of all the values from a given time period,False,\( 2 \mathrm{~kg} \),Student subtracts Saturday's value from Sunday's without considering the scale of the graph.,False,\( 10 \mathrm{~kg} \),Student correctly calculates the difference between Sunday and Saturday's potato consumption.,True,lemma_similarity,"Here is the completed Venn diagram from earlier in the quiz.
What calculation works out the lowest common multiple of \( 36 \) and \( 90 \) ? ![A Venn diagram showing the Prime factors of 36 set and the Prime factors of 90 set. There is a 2 in the prime factors of 36 set, there is 2, 3, 3 in the intersection and there is a 5 in the prime factors of 50 set.]()",\( 2 \times 2 \times 3 \times 3 \times 5 \),"The correct calculation includes all prime factors from both numbers, ensuring the LCM is a multiple of both.",True,\( 2 \times 3 \times 3 \),Confuses the calculations for HCF and LCM,False,\( 2 \times 5 \),forgets to include the common factors when calculating the lowest common multiple,False,\( 2 \times 3 \times 5 \),"Student may have only selected unique prime factors, missing the need to include all factors from both numbers.",False
294,operation_order_algebra,geometry_angles_shapes,Properties of Polygons,Tom and Katie are discussing regular polygons Tom says this is a regular polygon: ![A rhombus]() Katie says this is a regular polygon: ![A rectangle]() Who is correct?,"Only
Tom",Thinks that only the sides need to be equal for a polygon to be regular,False,Only Katie,Thinks that only the angles need to be the same for a polygon to be regular,False,Both Tom and Katie,Does not understand that all angles and sides must be equal for regular shapes,False,Neither is correct,"Recognizes that both shapes have equal sides but not equal angles, so neither is regular.",True,llm_gpt5codex_nogold_nonadaptive,An equilateral shape must have...,All sides equal,"Recognizes equilateral refers to all sides being equal, understanding the definition correctly.",True,All sides and all angles equal,Does know know equilateral means the same as regular,False,A right angle,Does know know equilateral means the same as regular,False,All angles equal,Does know know equilateral means the same as regular,False,llm_qwen8b_nogold_nonadaptive,"Tom and Katie are discussing congruent shapes.
Tom says you can reflect a shape and it will still be congruent to the original.

Katie says you can rotate a shape and it will still be congruent to the original.
Who is correct?","Only
Tom",Does not understand that shapes are congruent if they have the same size and shape,False,"Only
Katie",Does not understand that shapes are congruent if they have the same size and shape,False,Both Tom and Katie,"Understands that reflection and rotation preserve size and shape, so both transformations maintain congruency.",True,Neither is correct,Does not understand that shapes are congruent if they have the same size and shape,False,lemma_similarity,"Tom and Katie are discussing how to order decimals.

Tom says \( 0.60 \) is greater than \( 0.06 \)

Katie says \( 0.5993 \) is greater than \( 0.5399 \)

Who is correct?",Only Tom,Does not know how to compare decimal numbers,False,Only Katie,Does not know how to compare decimal numbers,False,Both Tom and Katie,Correctly identifies both comparisons by comparing digits from left to right.,True,Neither is correct,Does not know how to compare decimal numbers,False
